# Parse errors, both directions, against build/bin/rexxc.
#
# One row per program. `expect` is `ok` when rexxc answers rc 0, meaning the
# program TRANSLATES, and `major.sub` otherwise; `line` is the line the
# oracle's MAIN message names, or `-` for an accepted program. `program` is the
# program's bytes, with `\\`, `\t`, `\n`, `\r` and `\xNN` the only escapes.
#
# How it was generated: the `ok`/`err` helpers of src/instruction/tests.rs,
# src/directive/tests.rs and src/block/tests.rs were temporarily instrumented to
# dump every program they parse; `cargo test -p rexx-parse --lib` collected
# them; the tables in tests/scanner.rs and src/expr/tests.rs were transcribed by
# hand, the latter as the program `r = <expr>` it was measured as; then
# build/bin/rexxc was run on each and its answer recorded. The instrumentation
# was reverted and the tree verified clean.
#
# The last seven rows were added afterwards, and separately, because mutation
# testing found two error paths that no row reached: 99.916 raised on a clause
# that is not a directive at all (five rows, one per directive kind that cannot
# carry a body), and 20.923 raised for a namespace-qualified symbol with no name
# after the colon (two rows, one per arm of the check). Each was measured with
# rexxc the same way as the rest.
#
# Nothing here is our parser's own answer. A row records only what the oracle
# said, so a divergence shows up as a test failure rather than as an expected
# value.
expect	line	program
ok	-	nop\n\ndo label a\n\nnop\n\nend\n
ok	-	address
ok	-	parse arg a.b
ok	-	do with item v over x\nend
14.1	7	do\n\nnop\n\nnop\n\nnop\n
26.5	1	::options digits "9.5"\n
18.1	3	nop\nnop\nif 1 = 1\n
ok	-	do i = 1 by 2 to 3\nend
24.1	1	trace 1e-2
31.3	1	do .5 = 1 to 2\nend
25.12	1	parse upper lower arg a
19.920	1	::resource\n
24.1	1	trace 1e20
25.917	1	forward to 1 to 2
25.904	1	::requires x FUZZ\n
ok	-	::options nostring condition\n
ok	-	do i over x for 2 while 1\nend
19.904	1	::requires\n
99.925	1	::attribute 3\n
20.901	1	drop "x"
ok	-	a += 1
ok	-	::attribute a\n
ok	-	parse arg +(x) a
14.3	3	nop\n\nif 1 = 1 then\n
99.925	1	::attribute .a\n
98.903	2	nop\n::routine r external "LIBRARY x"\n
ok	-	::method m\nguard on\n
21.901	1	nop 1
25.935	1	::options numeric syntax\n
ok	-	forward
19.901	1	::class\n
ok	-	if 1 then nop\nelse nop
ok	-	select\nwhen 1 then nop\notherwise say 2\nend
ok	-	select\nwhen 1 = 1 then say 1\notherwise say 2\nend\n
ok	-	call off error
25.904	1	::requires x UNGUARDED\n
ok	-	call on any\nany: return
35.1	1	address system with error using x
ok	-	/* Note: uses explicit || rather than abuttal. A symbol abutting a preceding\n   string literal can be read as its hex/binary suffix -- say a"|"b parses\n   "|"b as a binary literal and fails with error 15. */\nparse value "alpha beta gamma" with p1 p2 p3\nsay p1 || "/" || p2 || "/" || p3\nparse value "2026-07-27" with yy "-" mm "-" dd\nsay yy || ":" || mm || ":" || dd\nparse value "one two three four" with first rest\nsay first || "[" || rest || "]"\nparse value "abcdef" with 3 mid 5 tail\nsay mid || "," || tail\nparse upper value "MiXeD" with u\nsay u\nparse value "a,b,c" with f1 "," f2 "," f3\nsay f1 f2 f3\n
ok	-	parse arg "lit" a
ok	-	nop
20.933	1	address system with
99.917	1	::method m attribute external "junk"\n
20.905	1	numeric "x"
ok	-	::routine r\n  return\n::annotate routine r k 1\n
25.901	1	::class c junk\n
25.902	1	::method m protected unprotected\n
ok	-	raise halt
ok	-	expose a\n\nnop\n
ok	-	select\nwhen 1 = 1 then nop\notherwise nop\nend\n
25.925	1	::attribute a get set\n
10.1	5	nop\n\nselect\n\nwhen 1 = 1 then end\n
ok	-	drop a (v) b
27.901	1	do forever x\nend
8.1	1	then
25.934	1	address system with using x
25.915	1	signal on error label lab
ok	-	do\ndo\ndo\nnop\nend\nend\nend\n
ok	-	::attribute a package\n
ok	-	do until 1\nend
25.904	1	::requires x UNPROTECTED\n
25.902	1	::method m abstract abstract\n
25.927	1	::options lostdigits error\n
ok	-	::method m private\n  return 1\n
ok	-	signal on novalue\nnovalue: nop
ok	-	numeric form value 1
10.1	7	nop\n\nselect\n\nwhen 1 = 1 then\n\nend\n
ok	-	::options novalue condition\n
ok	-	do label a label b\nend
99.925	1	::attribute "1e+5"\n
25.904	1	::requires x TRACE\n
10.1	7	nop\n\nif 1 = 1 then nop\n\nelse\n\nend\n
ok	-	call on user x\nx: return
ok	-	::options digits "9."\n
20.924	1	::annotate "package"\n
ok	-	::options numeric inherit\n
ok	-	raise user x
ok	-	do i = 1 to 3 by 2 for 4\nend
25.933	1	address system with output append
20.929	1	::options novalue\n
31.2	1	do with index 1 over x\nend
